structure(list(id = 1:982, user_name = c("vance.jennings", "consuelo.eaton", 
"bZ3ME2PRIfnjXtQ", "please", "navysis921", "competing", "hothicks", 
"chuckie18", "scjbbe", "n", "jeefrylee", "aluminium", "lilsplat2", 
"927634", "V3uKMwdU7p", "rothie", "q", "redman66", "erken", "11111", 
"OTkjbrJKNs0g", "HsNErMn8", "5360026", "tigger", "badboy", "iceing4", 
"mr183smx8819ily", "9S3FfU", "stella64", "cartero1019", "moody", 
"oGz4Pc", "george", "hdjordan", "rdBsIthJOl", "l9mzH0R71IncFP", 
"production", "gustav8-9-88", "vitaminado", "pomza", "RyzFcb5", 
"jdhorne92", "JozieBabes123", "campos", "220780", "muggsy01", 
"oQwOtBefYRTui", "(jajonas)", "nachomio", "pimjung463026", "jesus666#", 
"ehSVGlrIuEdg", "NcXgLfnEy", "symadia97", "adayle", "gjUsXMS6ZOxNVzi", 
"880202/6464", "daryl", "cooley", "sally", "obsidian447", "rick", 
"259131jc", "wek1234", "cesarymary4ever", "utilities", "1ISGvf", 
"colombia", "plines", "coffee", "masash22", "alergz", "O0CY5v9sVjfEBHq", 
"pc4Y86", "1010199307", "collectible", "087448", "summer", "edwardo", 
"alayab01", "PgwNd", "peasgrain", "mlAHQye", "zdxHj8OPBp", "36PmOjke", 
"hzZfDnA", "GPUtj7Ab", "szicRLS7BQ", "sapphire", "hardcore", 
"00085877", "ordinance", "Y0gbf9NMQt", "winterd3", "pittman", 
"pNa5Kwm10y", "FJue3cVsHt", "toyota", "lainejoi", "2203654", 
"jAXz8EChmgHu", "pOY3qghF0C6", "isaacruiz07", "CZ6t2BRQNp", "cap896scan603", 
"eGoET2yFBKSJ", "decade", "uTdbkv7lFXPO", "4954859", "Eqpo8SdLK2ghk7", 
"TOBBY05", "builds", "029015096", "jian_karlo", "kmac17", "realis", 
"montoya", "8311223995", "timeline", "senzualu", "CORRI19", "12yKGfJn8wVD43W", 
"lK4QIORh975oE", "cvflores", "renojodaniel", "murphy", "9929030*", 
"JSx7QmWN", "0184234645", "dakota", "xDtIwN6WYP", "1SANDRA", 
"Rm3OwUfobjYxq", "suga88", "DRUCIFER", "LILFLIPS", "0872301541", 
"lbs", "jbp1980", "2709800020357", "elalets", "27972033", "s4hnsxa2", 
"18919765", "r2QFmJEZLBYAO4", "girlsruleyh", "96936616", "pitus1", 
"6350jr", "pensyonado", "choir", "dmmc190410198719", "nascar", 
"eltiempo", "SLi3pozEvUbnC", "HLni6rFsN0", "park999", "78momma", 
"jls1407", "0869300298", "loveygirl23", "gates", "mzcrump", "Sharp", 
"naomi2006", "kXB3xSmHnYhT9V", "014805548", "eto1UfR", "111024", 
"clean", "3phiKS", "puravida16", "johnnie", "888888", "soricila", 
"mLSBz3dZHknt60w", "3H0WUDYoVzXrBPxE", "anton", "585190", "dqKOAm8M", 
"cas4life", "cabrona1", "rinnnng0", "junbug28", "19981980", "volunteers", 
"r9YsmJHlySjvLnt", "014124161", "ZYjaluJCMSdfB", "brandon", "GIVcD5rF08UEiuAb", 
"PAULmc123_lisi", "meeka2009", "yellow", "cooper", "rewind54", 
"bensub1", "fender", "3su9hb6KiZxCqo", "guitar", "abarca12", 
"dallas", "BubYP4qLhvoC", "3e2w11", "5cubans", "vicmiboo", "flux", 
"kriian1", "appleshoof", "laurence2005", "2vruPZbUo6OQ", "kinkage", 
"chrisbrownwfe", "azulerika1717", "5387376555", "shields", "29MVH", 
"llehoj", "fdrFM5iS", "dad19477", "75105857", "monroe07", "(treintay1)", 
"clue99", "bU80fBsha", "123456", "brandy", "reproduction", "y1MNbvZ7B", 
"tremarr", "4EGzRsCUkPX", "FlWHb4B", "yHYUnFzZSGmPqBW", "ana870202", 
"143sanya", "jv0805", "morgan", "3678909321", "MUSTANG_2006", 
"robert", "qRsALS2TCb8ziW", "josue1991101318", "YIHs7Rp", "123123123", 
"k06050605", "5272199335", "blanquita3", "fernandopapa", "oscam148", 
"lang", "singapore", "concerning", "banana", "foster1996", "598HfTk67b", 
"shandy21", "81672118", "marker00", "XsSDCBpYVlbQumri", "ct-4198", 
"mysponsor", "qwer1234", "0853005163", "iD8N7VUMWqP3od", "consortium", 
"JAMES7", "mZMUWk", "seantrice1", "vh0jP9luqCGkboeQ", "pupuubita", 
"able", "gallegos", "mskimberly", "xelovlade", "gabymoxxa", "15goofey", 
"chelsea", "rangers", "nizaluna", "65dOnEQgD", "marina", "q6YNTmkon", 
"0efekt", "cats", "paelnedved", "ChyWRHLOwjZo", "krilez", "jonathan", 
"fwDN4bvEMZ", "briggs", "jSx7c4L3hq", "0870575997", "pedir5", 
"iX69N", "dwihen", "hhdmrd.", "Loverboy13", "GoSWy", "d9990202", 
"eBSy8", "PwXM2K", "kOIEAve1qXnVo", "2277272", "JpCukOqzH7ZaW", 
"C2oKINYtia", "angel", "8685041", "bgeesh1", "mandjuhh89", "hunter", 
"bS7kqNVCFm", "8Vhcn0uwBpD4", "bgYkhoXA", "mellamog", "lee", 
"pepper", "aaaaaa", "chicago", "bigdog", "zabikhan", "1987cucreitorul", 
"0lLnvMw8rCESNB", "EIdbOgTZ", "manc13", "skate816", "money", 
"eIuk86YTV7CcoG3", "mercedes", "28may1997", "N2XTArGRVhKl5", 
"Ct3EayTGuHs4Ic2", "raiders", "AQiCWRGL", "9xQUdbKNhYsW", "ye6491982", 
"asdfgh", "ujXSn2dZWhF", "ap10172203", "51183208", "DILWYN", 
"spider", "summer", "seeks", "Passion!", "lagrimason", "colours", 
"pharmacy2012", "09196921342", "ilamujoy", "buddaball", "rangers", 
"broktaydrew16", "akgkhk82", "jhavonne93", "v2PfqcQDleA", "antonau", 
"goldfish92")), .Names = c("id", "user_name", "password"), row.names = c(NA, 
-982L), class = c("tbl_df", "tbl", "data.frame"), spec = structure(list(
    cols = structure(list(id = structure(list(), class = c("collector_integer", 
    "collector")), user_name = structure(list(), class = c("collector_character", 
    "collector")), password = structure(list(), class = c("collector_character", 
    "collector"))), .Names = c("id", "user_name", "password")), 
    default = structure(list(), class = c("collector_guess", 
    "collector"))), .Names = c("cols", "default"), class = "col_spec"))
